GroupId,GroupName,Preference,Id,Product,Amount,Measure,Energie,FatTotal,Protein,CarbsTotal,Sugar,Starch,Fibre,Water,PUFA3,K,CA,P,MG,FE,CU,SE,ZN,IOD,VITA,VITC,VITD,VITE,VITK,VITB6,VITB12,FIBWAT,FIBFAT,FATPROT
22,"Suiker, snoep, zoet beleg en zoete sauzen",,3244,Fudge/karamel zachte,100,g,435,16,1.9,70.8,63.8,7,0.3,11,0.5,153,126,105,13,0.2,0.09,1,0.5,15,0,0,0,0.3,,0.03,0.3,11.3,16.3,17.9
12,Hartige snacks en zoutjes,,269,Kroepoek naturel,100,g,516,28,3.5,62,7.5,54.5,1,3.8,0,53,25,65,18,3.4,,,,8.3,0,0,0,0,,0.01,0.29,4.8,29,31.5
4,Diversen,,2953,Zout zee-,100,g,0,0,0,0,0,0,0,4,0,56,51,1,37,3,0.14,,0.08,42,0,0,0,0,,0,0,4,0,0
22,"Suiker, snoep, zoet beleg en zoete sauzen",,2657,Pasta duo- m chocolade,100,g,576,36.5,1.8,59.5,57.4,2.1,1.3,0.9,0,302,97,120,42,1.7,0.42,3,1.3,2.5,12,0,0,0.2,,0.03,0.58,2.2,37.8,38.3
22,"Suiker, snoep, zoet beleg en zoete sauzen",,427,Stroop appel-,100,g,280,0,1.8,65.9,58,7.9,4.6,26,0,599,24,86,82,13.2,0.14,0,0.81,0,0,1,0,0,0.6,0.088,0,30.6,4.6,1.8
18,Peulvruchten,,970,Linzen groene en bruine gekookt,100,g,99,0.7,8.8,11.6,0,11.6,5.3,68.6,0.2,657,23,160,34,2.9,0.42,7,1.4,0.3,0,0,0,0.1,1.7,0.14,0,73.9,6,9.5
3,Brood,,2353,Brood muesli- obv meel/volkorenmeel,100,g,295,7.6,10.6,42.5,16.7,25.8,6.9,30.3,0.1,400,53,168,60,2.9,0.39,4,1.2,47.2,0,0,0,1.4,2.6,0.13,0,37.2,14.5,18.2
8,Graanproducten en bindmiddelen,,1889,Couscous rauw,100,g,377,0.6,12.8,77.4,0.8,76.7,5,8.6,0,166,24,170,44,1.1,0.25,,0.83,0.3,0,0,0,,0.3,0.11,0,13.6,5.6,13.4
8,Graanproducten en bindmiddelen,,1999,Ontbijtproduct Frosties Kellogg's,100,g,375,0.6,4.5,87,37,50,2,5.9,0,60,456,30,10,8,,,0.3,0.9,0,0,4.2,,0.2,1.2,2.1,7.9,2.6,5.1
22,"Suiker, snoep, zoet beleg en zoete sauzen",,2380,Toffee m chocolade,100,g,427,11.7,1.8,77.8,60.5,17.3,1.5,6.2,0,84,13,32,20,0.8,0.26,1,0.29,0.5,1,0,0,0.3,,0.004,0.06,7.7,13.2,13.5
22,"Suiker, snoep, zoet beleg en zoete sauzen",,457,Jam rozenbottel- m vit C,100,g,260,0.3,1.8,62,62,0,1,35,0,100,20,20,8,1,0.03,0,0.05,0.3,0,160,0,0.5,,0.02,0,36,1.3,2.1
8,Graanproducten en bindmiddelen,,2682,Rijst meergranen- gekookt,100,g,140,0.6,3.6,29.6,0.4,29.2,1.1,64.8,0,100,8,120,38,0.5,0.1,4,0.32,2.1,0,0,0,0.3,0,0.1,0,65.9,1.7,4.2
8,Graanproducten en bindmiddelen,,3251,Pasta vezelrijk Honig gekookt,100,g,134,0.6,4.4,25.6,1.4,24.2,4.4,65,0,40,9,50,22,0.8,0.13,2,0.6,0.5,0,0,0,0,0,0.032,0,69.4,5,5
3,Brood,,229,Knackebrod gem,100,g,380,5.9,11.6,64.3,3.2,61.1,11.9,5.8,0.1,356,67,266,85,2.9,0.37,2,2.36,1.9,0,0,0,1,,0.22,0,17.7,17.8,17.5
25,Vlees en gevogelte,,1900,Geitenvlees rauw gem,100,g,103,2.3,20.6,0,0,0,0,75.8,0,385,12,180,,2.8,0.26,,4,1,0,0,,,,,1.13,75.8,2.3,22.9
24,Vis,,351,Krab in water blik,100,g,85,1.4,18.1,0,0,0,0,79.2,0.4,100,120,140,32,2.8,0.42,26,5.7,60,0,0,0,2.4,,0.3,0,79.2,1.4,19.5
3,Brood,,976,Knackebrod lichtgewicht,100,g,334,1.5,10,59,2,57,22,6,0,400,50,335,110,2.7,0.4,2,2.5,1.9,0,0,0,0.4,,0.31,0,28,23.5,11.5
3,Brood,,3213,Brood volkoren- grof m pompoenpitten,100,g,276,7.8,13.6,34.4,1.8,32.5,7,34.8,0.1,353,37,307,120,2.7,0.22,6,2.16,50.2,0,0,0,0.2,,0.12,0,41.8,14.8,21.4
22,"Suiker, snoep, zoet beleg en zoete sauzen",,440,Gember op siroop blik/glas,100,g,288,0,1.8,69,67,2,2.5,26.7,0,90,30,0,43,0,0.23,,0.34,,0,0,0,,,0,0,29.2,2.5,1.8
22,"Suiker, snoep, zoet beleg en zoete sauzen",,434,Boter chocolade-,100,g,515,32.2,1.6,53.6,32.4,21.2,2.4,10.2,0.1,110,13,45,39,,0.3,0,0.53,0.3,200,0,1,12.1,2.1,0.004,0,12.6,34.6,33.8
22,"Suiker, snoep, zoet beleg en zoete sauzen",,3064,Stroop appel- verrijkt met ijzer,100,g,287,0,1.6,67.6,55.8,11.8,5.2,25.7,0,492,24,86,82,24.8,0.14,0,0.81,0,0,1,0,,0.6,0.088,0,30.9,5.2,1.6
3,Brood,,2348,Brood volkoren- gem m pompoenpitten,100,g,275,7.6,13.4,34.7,1.8,32.9,6.9,34.9,0.1,321,35,310,122,2.7,0.22,5,2.18,50.2,0,0,0,0.2,,0.11,0,41.8,14.5,21
